"JURISDICTION","LOCATION","AGE_GROUP","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","ECSTASY","NO_DRUGS_DETECTED","COUNT","YEAR"
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",22,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",26,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",34,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",12,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",3,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",40,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",30,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",1,2023
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",21,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",20,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",41,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",10,2023
"NSW","Inner Regional Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",5,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",18,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",34,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",16,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",18,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",28,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",23,2023
"NSW","Inner Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2023
"NSW","Inner Regional Australia","65 and over","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",4,2023
"NSW","Inner Regional Australia","65 and over","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","65 and over","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",4,2023
"NSW","Inner Regional Australia","65 and over","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Inner Regional Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",4,2023
"NSW","Inner Regional Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2023
"NSW","Major Cities of Australia","0-16","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","0-16","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","0-16","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",8,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",50,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",5,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",10,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",2,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",22,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",6,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",29,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",6,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",12,2023
"NSW","Major Cities of Australia","17-25","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",5,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",45,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",7,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",2,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",10,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",1,2023
"NSW","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",4,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",7,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",66,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",4,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",66,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",5,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",7,2023
"NSW","Major Cities of Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",3,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",17,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",10,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",54,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",61,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",4,2023
"NSW","Major Cities of Australia","26-39","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",10,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",4,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",6,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",2,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",63,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",3,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",58,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",3,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",16,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2023
"NSW","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","Not applicable",1,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",7,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",29,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",3,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",78,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",12,2023
"NSW","Major Cities of Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",14,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",1,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","No","Not applicable","Not applicable",6,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",23,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","No","Yes","Not applicable","Not applicable",2,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",61,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","No","Not applicable","Not applicable",3,2023
"NSW","Major Cities of Australia","40-64","No","Secondary Confirmatory (Stage 2)","Yes","Yes","Not applicable","Not applicable",20,2023
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2023
